Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_001134.8	623576	624211	II	plus	derlin	DER1	852500	protein-coding	NM_001178549.1	NP_009760.1	211	YBR201W
NC_001134.8	624493	624696	II	minus	Min7p	MIN7	3799967	protein-coding	NM_001184676.3	NP_001032571.3	67	YBR201C-A
NC_001134.8	625772	628309	II	plus	mini-chromosome maintenance complex protein 7	MCM7	852501	protein-coding	NM_001178550.4	NP_009761.4	845	YBR202W
NC_001134.8	629168	631942	II	plus	Cos111p	COS111	852502	protein-coding	NM_001178551.2	NP_009762.2	924	YBR203W
NC_001134.8	632254	633381	II	minus	triacylglycerol lipase	LDH1	852503	protein-coding	NM_001178552.2	NP_009763.2	375	YBR204C
NC_001134.8	633622	634836	II	plus	mannosyltransferase KTR3	KTR3	852504	protein-coding	NM_001178553.3	NP_009764.3	404	YBR205W
NC_001134.8	635146	636543	II	plus	Fth1p	FTH1	852506	protein-coding	NM_001178555.4	NP_009766.4	465	YBR207W
NC_001134.8	636703	642210	II	minus	bifunctional urea carboxylase/allophanate hydrolase	DUR12	852507	protein-coding	NM_001178556.1	NP_009767.1	1835	YBR208C
NC_001134.8	642583	642900	II	plus	uncharacterized protein		852508	protein-coding	NM_001348891.1	NP_001335746.1	105	YBR209W
NC_001134.8	643007	643078	II	minus	tRNA-Cys		852509	tRNA				YNCB0017C
NC_001134.8	645167	645238	II	plus	tRNA-Glu		852510	tRNA				YNCB0018W
NC_001134.8	645550	645978	II	plus	Erv15p	ERV15	852511	protein-coding	NM_001178558.1	NP_009769.1	142	YBR210W
NC_001134.8	646158	647132	II	minus	Ame1p	AME1	852512	protein-coding	NM_001178559.3	NP_009770.3	324	YBR211C
NC_001134.8	647886	649904	II	plus	Ngr1p	NGR1	852513	protein-coding	NM_001178560.3	NP_009771.3	672	YBR212W
NC_001134.8	650368	651192	II	plus	bifunctional precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase MET8	MET8	852514	protein-coding	NM_001178561.1	NP_009772.1	274	YBR213W
NC_001134.8	651415	652998	II	plus	Sds24p	SDS24	852515	protein-coding	NM_001178562.1	NP_009773.1	527	YBR214W
NC_001134.8	653356	655317	II	plus	Hpc2p	HPC2	852516	protein-coding	NM_001178563.3	NP_009774.4	625	YBR215W
NC_001134.8	655576	657600	II	minus	Ybp1p	YBP1	852517	protein-coding	NM_001178564.3	NP_009775.3	674	YBR216C
NC_001134.8	657832	658392	II	plus	Atg12p	ATG12	852518	protein-coding	NM_001178565.1	NP_009776.1	186	YBR217W
NC_001134.8	658707	662249	II	minus	pyruvate carboxylase 2	PYC2	852519	protein-coding	NM_001178566.1	NP_009777.1	1180	YBR218C
NC_001134.8	662499	663303	II	minus	uncharacterized protein		852520	protein-coding	NM_001178567.3	NP_009778.3	127	YBR219C
NC_001134.8	662995	664677	II	minus	uncharacterized protein		852521	protein-coding	NM_001178568.3	NP_009779.3	560	YBR220C
NC_001134.8	665153	666253	II	minus	pyruvate dehydrogenase (acetyl-transferring) subunit E1 beta	PDB1	852522	protein-coding	NM_001178569.1	NP_009780.1	366	YBR221C
NC_001134.8	666538	666642	II	plus	uncharacterized protein		1466450	protein-coding	NM_001184644.1	NP_878054.1	34	YBR221W-A
NC_001134.8	666720	668351	II	minus	Pcs60p	PCS60	852523	protein-coding	NM_001178570.3	NP_009781.3	543	YBR222C
NC_001134.8	668663	670297	II	minus	tyrosyl-DNA phosphodiesterase 1	TDP1	852525	protein-coding	NM_001178571.3	NP_009782.3	544	YBR223C
NC_001134.8	670627	673329	II	plus	uncharacterized protein		852526	protein-coding	NM_001178573.1	NP_009784.1	900	YBR225W
NC_001134.8	673572	675134	II	minus	Mcx1p	MCX1	852528	protein-coding	NM_001178575.1	NP_009786.1	520	YBR227C
NC_001134.8	675313	676227	II	plus	endonuclease	SLX1	852529	protein-coding	NM_001178576.3	NP_009787.3	304	YBR228W
NC_001134.8	676357	679221	II	minus	glucan 1,3-alpha-glucosidase ROT2	ROT2	852530	protein-coding	NM_001178577.3	NP_009788.3	954	YBR229C
NC_001134.8	679549	680050	II	minus	Om14p	OM14	852531	protein-coding	NM_001178578.1	NP_009789.1	134	YBR230C
NC_001134.8	680362	680562	II	plus	Coq21p	COQ21	2777172	protein-coding	NM_001184673.1	NP_001018029.1	66	YBR230W-A
NC_001134.8	680688	681862	II	minus	LSR1	LSR1	9164871	snRNA	NR_132154.1			YNCB0019C
NC_001134.8	682179	683090	II	minus	Swc5p	SWC5	852532	protein-coding	NM_001178579.3	NP_009790.3	303	YBR231C
NC_001134.8	683428	684669	II	plus	Pbp2p	PBP2	852533	protein-coding	NM_001178581.3	NP_009792.3	413	YBR233W
NC_001134.8	684977	685261	II	plus	Dad3p	DAD3	852535	protein-coding	NM_001184461.1	NP_631876.1	94	YBR233W-A
NC_001134.8	685438	686592	II	minus	Arc40p	ARC40	852536	protein-coding	NM_001178582.1	NP_009793.1	384	YBR234C
NC_001134.8	686901	690263	II	plus	Vhc1p	VHC1	852537	protein-coding	NM_001178583.3	NP_009794.3	1120	YBR235W
NC_001134.8	690383	691693	II	minus	mRNA (guanine-N7)-methyltransferase	ABD1	852538	protein-coding	NM_001178584.3	NP_009795.3	436	YBR236C
NC_001134.8	691969	694518	II	plus	DEAD-box RNA helicase PRP5	PRP5	852539	protein-coding	NM_001178585.1	NP_009796.1	849	YBR237W
NC_001134.8	695107	697302	II	minus	uncharacterized protein		852540	protein-coding	NM_001178586.1	NP_009797.1	731	YBR238C
NC_001134.8	698354	699943	II	minus	Ert1p	ERT1	852541	protein-coding	NM_001178587.3	NP_009798.3	529	YBR239C
NC_001134.8	700490	701842	II	minus	Thi2p	THI2	852542	protein-coding	NM_001178588.3	NP_009799.3	450	YBR240C
NC_001134.8	702589	704055	II	minus	Vvs1p	VVS1	852543	protein-coding	NM_001178589.1	NP_009800.1	488	YBR241C
NC_001134.8	704670	705386	II	plus	5'-deoxynucleotidase		852544	protein-coding	NM_001178590.1	NP_009801.1	238	YBR242W
NC_001134.8	705447	706793	II	minus	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase	ALG7	852545	protein-coding	NM_001178591.3	NP_009802.3	448	YBR243C
NC_001134.8	707528	708016	II	plus	glutathione peroxidase GPX2	GPX2	852546	protein-coding	NM_001178592.3	NP_009803.3	162	YBR244W
NC_001134.8	708150	711539	II	minus	chromatin-remodeling ATPase ISW1	ISW1	852547	protein-coding	NM_001178593.1	NP_009804.1	1129	YBR245C
NC_001134.8	711591	712754	II	plus	diphthamide synthase	RRT2	852548	protein-coding	NM_001178594.1	NP_009805.1	387	YBR246W
NC_001134.8	713004	714455	II	minus	snoRNA-binding rRNA-processing protein ENP1	ENP1	852549	protein-coding	NM_001178595.3	NP_009806.3	483	YBR247C
NC_001134.8	714807	716465	II	minus	imidazoleglycerol-phosphate synthase	HIS7	852550	protein-coding	NM_001178596.3	NP_009807.3	552	YBR248C
NC_001134.8	716882	717994	II	minus	3-deoxy-7-phosphoheptulonate synthase ARO4	ARO4	852551	protein-coding	NM_001178597.1	NP_009808.1	370	YBR249C
NC_001134.8	719033	720604	II	plus	Spo23p	SPO23	852552	protein-coding	NM_001178598.1	NP_009809.1	523	YBR250W
NC_001134.8	721390	722313	II	plus	mitochondrial 37S ribosomal protein MRPS5	MRPS5	852553	protein-coding	NM_001178599.3	NP_009810.3	307	YBR251W
NC_001134.8	722611	723054	II	plus	bifunctional dITP/dUTP diphosphatase	DUT1	852554	protein-coding	NM_001178600.3	NP_009811.3	147	YBR252W
NC_001134.8	723270	723635	II	plus	Srb6p	SRB6	852555	protein-coding	NM_001178601.1	NP_009812.1	121	YBR253W
NC_001134.8	723736	724263	II	minus	TRAPP subunit TRS20	TRS20	852556	protein-coding	NM_001178602.1	NP_009813.1	175	YBR254C
NC_001134.8	724456	726540	II	plus	Mtc4p	MTC4	852557	protein-coding	NM_001178603.3	NP_009814.3	694	YBR255W
NC_001134.8	726618	727074	II	minus	Rcf3p	RCF3	852558	protein-coding	NM_001184510.3	NP_116328.4	120	YBR255C-A
NC_001134.8	727386	728102	II	minus	riboflavin synthase	RIB5	852559	protein-coding	NM_001178604.1	NP_009815.1	238	YBR256C
NC_001134.8	728885	729724	II	plus	RNase P/RNase MRP complex subunit	POP4	852560	protein-coding	NM_001178605.1	NP_009816.1	279	YBR257W
NC_001134.8	729734	730162	II	minus	Shg1p	SHG1	852561	protein-coding	NM_001178606.3	NP_009817.3	142	YBR258C
NC_001134.8	730387	732453	II	plus	uncharacterized protein		852562	protein-coding	NM_001178607.3	NP_009818.3	688	YBR259W
NC_001134.8	732639	734639	II	minus	GTPase-activating protein RGD1	RGD1	852563	protein-coding	NM_001178608.1	NP_009819.1	666	YBR260C
NC_001134.8	734832	735530	II	minus	N-terminal protein methyltransferase	TAE1	852564	protein-coding	NM_001178609.1	NP_009820.1	232	YBR261C
NC_001134.8	735720	736040	II	minus	Mic12p	MIC12	852566	protein-coding	NM_001178610.3	NP_009821.3	106	YBR262C
NC_001134.8	736264	737736	II	plus	glycine hydroxymethyltransferase SHM1	SHM1	852565	protein-coding	NM_001178611.3	NP_009822.4	490	YBR263W
NC_001134.8	737770	738369	II	minus	Rab family GTPase YPT10	YPT10	852567	protein-coding	NM_001178612.1	NP_009823.2	199	YBR264C
NC_001134.8	738582	739544	II	plus	3-dehydrosphinganine reductase	TSC10	852568	protein-coding	NM_001178613.2	NP_009824.2	320	YBR265W
NC_001134.8	739841	741022	II	plus	Rei1p	REI1	852569	protein-coding	NM_001178615.4	NP_009825.4	393	YBR267W
NC_001134.8	739936	740388	II	minus	Slm6p	SLM6	852570	protein-coding	NM_001395042.1	NP_001381962.1	150	YBR266C
NC_001134.8	741299	741616	II	plus	mitochondrial 54S ribosomal protein YmL37	MRPL37	852571	protein-coding	NM_001178616.3	NP_009827.3	105	YBR268W
NC_001134.8	742160	742576	II	minus	Sdh8p	SDH8	852572	protein-coding	NM_001178617.1	NP_009828.2	138	YBR269C
NC_001134.8	742761	744398	II	minus	Bit2p	BIT2	852573	protein-coding	NM_001178618.2	NP_009829.2	545	YBR270C
NC_001134.8	744852	746111	II	plus	S-adenosylmethionine-dependent methyltransferase	EFM2	852574	protein-coding	NM_001178619.3	NP_009830.3	419	YBR271W
NC_001134.8	746361	747803	II	minus	Hsm3p	HSM3	852575	protein-coding	NM_001178620.3	NP_009831.3	480	YBR272C
NC_001134.8	748061	749371	II	minus	Ubx7p	UBX7	852576	protein-coding	NM_001178621.1	NP_009832.1	436	YBR273C
NC_001134.8	749594	751177	II	plus	serine/threonine protein kinase CHK1	CHK1	852577	protein-coding	NM_001178622.1	NP_009833.1	527	YBR274W
NC_001134.8	751356	757106	II	minus	DNA-binding protein RIF1	RIF1	852578	protein-coding	NM_001178623.4	NP_009834.4	1916	YBR275C
NC_001134.8	757620	760043	II	minus	tyrosine/serine/threonine protein phosphatase PPS1	PPS1	852579	protein-coding	NM_001178624.3	NP_009835.3	807	YBR276C
NC_001134.8	760294	760899	II	plus	DNA polymerase epsilon noncatalytic subunit	DPB3	852580	protein-coding	NM_001178626.1	NP_009837.1	201	YBR278W
NC_001134.8	761257	762594	II	plus	Paf1p	PAF1	852582	protein-coding	NM_001178627.1	NP_009838.1	445	YBR279W
NC_001134.8	762784	764697	II	minus	SCF ubiquitin ligase complex subunit SAF1	SAF1	852583	protein-coding	NM_001178628.3	NP_009839.4	637	YBR280C
NC_001134.8	764970	767606	II	minus	glutamine amidotransferase subunit DUG2	DUG2	852584	protein-coding	NM_001178629.3	NP_009840.3	878	YBR281C
NC_001134.8	768240	768680	II	plus	mitochondrial 54S ribosomal protein YmL27	MRPL27	852585	protein-coding	NM_001178630.1	NP_009841.1	146	YBR282W
NC_001134.8	768943	770415	II	minus	Ssh1p	SSH1	852586	protein-coding	NM_001178631.1	NP_009842.1	490	YBR283C
NC_001134.8	771239	773632	II	plus	metallo-dependent hydrolase superfamily protein		852587	protein-coding	NM_001178632.3	NP_009843.3	797	YBR284W
NC_001134.8	773922	774356	II	plus	uncharacterized protein		852588	protein-coding	NM_001178633.4	NP_009844.4	144	YBR285W
NC_001134.8	774700	776313	II	plus	aminopeptidase Y	APE3	852589	protein-coding	NM_001178634.1	NP_009845.2	537	YBR286W
NC_001134.8	776571	777854	II	plus	uncharacterized protein		852590	protein-coding	NM_001178635.1	NP_009846.1	427	YBR287W
NC_001134.8	778012	779463	II	minus	Apm3p	APM3	852591	protein-coding	NM_001178636.4	NP_009847.4	483	YBR288C
NC_001134.8	779667	782384	II	plus	Snf5p	SNF5	852592	protein-coding	NM_001178637.4	NP_009848.4	905	YBR289W
NC_001134.8	782591	783556	II	plus	Bsd2p	BSD2	852593	protein-coding	NM_001178638.1	NP_009849.1	321	YBR290W
NC_001134.8	783673	784572	II	minus	Ctp1p	CTP1	852594	protein-coding	NM_001178639.1	NP_009850.1	299	YBR291C
NC_001134.8	784702	785073	II	minus	uncharacterized protein		852595	protein-coding	NM_001348892.1	NP_001335747.1	123	YBR292C
NC_001134.8	787006	788430	II	plus	Vba2p	VBA2	852596	protein-coding	NM_001178641.3	NP_009852.3	474	YBR293W
NC_001134.8	789235	791814	II	plus	sulfate permease	SUL1	852597	protein-coding	NM_001178642.3	NP_009853.3	859	YBR294W
NC_001134.8	792849	796499	II	plus	cation-transporting P-type ATPase PCA1	PCA1	852598	protein-coding	NM_001178643.2	NP_009854.2	1216	YBR295W
NC_001134.8	796798	798522	II	minus	Pho89p	PHO89	852599	protein-coding	NM_001178644.1	NP_009855.1	574	YBR296C
NC_001134.8	800123	800242	II	minus	Tyc1p	TYC1	1466451	protein-coding	NM_001184587.3	NP_878055.3	39	YBR296C-A
NC_001134.8	800523	801929	II	plus	transcription factor MAL33	MAL33	852600	protein-coding	NM_001178645.3	NP_009856.3	468	YBR297W
NC_001134.8	802631	804475	II	minus	maltose permease	MAL31	852601	protein-coding	NM_001178646.1	NP_009857.1	614	YBR298C
NC_001134.8	805035	805256	II	minus	uncharacterized protein		1466452	protein-coding	NM_001184588.1	NP_878056.1	73	YBR298C-A
NC_001134.8	805351	807105	II	plus	alpha-glucosidase MAL32	MAL32	852602	protein-coding	NM_001178647.3	NP_009858.3	584	YBR299W
NC_001134.8	809057	809419	II	plus	seripauperin PAU24	PAU24	852603	protein-coding	NM_001178649.3	NP_009860.3	120	YBR301W
NC_001134.8	810340	811479	II	minus	Cos2p	COS2	852605	protein-coding	NM_001178650.1	NP_009861.1	379	YBR302C
NC_001135.5	2126	2566	III	plus	uncharacterized gene		850287	pseudogene				YCL075W
NC_001135.5	2824	3750	III	plus	uncharacterized gene		850288	pseudogene				YCL074W
NC_001135.5	6479	8326	III	minus	glutathione exchanger	GEX1	850289	protein-coding	NM_001178711.1	NP_009863.2	615	YCL073C
NC_001135.5	9706	11082	III	plus	basic amino acid transporter	VBA3	850290	protein-coding	NM_001178710.1	NP_009864.1	458	YCL069W
NC_001135.5	11503	12285	III	minus	uncharacterized protein		850291	protein-coding	NM_001178709.1	NP_009865.2	260	YCL068C
NC_001135.5	12386	13018	III	minus	homeodomain mating type protein alpha2	HMLALPHA2	850292	protein-coding	NM_001178708.1	NP_009866.1	210	YCL067C
NC_001135.5	13282	13809	III	plus	transcriptional co-activator mating type protein alpha	HMLALPHA1	850293	protein-coding	NM_001178707.1	NP_009867.1	175	YCL066W
NC_001135.5	15798	16880	III	minus	L-serine/L-threonine ammonia-lyase CHA1	CHA1	850295	protein-coding	NM_001178706.1	NP_001018030.1	360	YCL064C
NC_001135.5	17290	18561	III	plus	Vac17p	VAC17	850296	protein-coding	NM_001178705.1	NP_009870.1	423	YCL063W
NC_001135.5	18816	22106	III	minus	chromatin-modulating protein MRC1	MRC1	850297	protein-coding	NM_001178704.1	NP_009871.2	1096	YCL061C
NC_001135.5	22429	23379	III	minus	ribosome biosynthesis protein KRR1	KRR1	850298	protein-coding	NM_001178703.1	NP_009872.1	316	YCL059C
NC_001135.5	23523	23981	III	minus	Fyv5p	FYV5	850299	protein-coding	NM_001178702.1	NP_009873.1	152	YCL058C
NC_001135.5	23584	23925	III	plus	Adf1p	ADF1	3289591	protein-coding	NM_001184528.1	NP_001018031.2	113	YCL058W-A
NC_001135.5	24032	24325	III	minus	Mic10p	MIC10	850300	protein-coding	NM_001184448.1	NP_065435.1	97	YCL057C-A
NC_001135.5	24768	26906	III	plus	metalloendopeptidase	PRD1	850301	protein-coding	NM_001178701.1	NP_009874.1	712	YCL057W
NC_001135.5	26925	27359	III	minus	Pex34p	PEX34	850302	protein-coding	NM_001178700.1	NP_009875.1	144	YCL056C
NC_001135.5	27929	28936	III	plus	Kar4p	KAR4	850303	protein-coding	NM_001178699.1	NP_009876.1	335	YCL055W
NC_001135.5	30910	30996	III	plus	Rdt1p	RDT1	23547378	protein-coding	NM_001305014.1	NP_001291943.1	28	YCL054W-A
NC_001135.5	31449	33974	III	plus	27S pre-rRNA (guanosine2922-2'-O)-methyltransferase	SPB1	850304	protein-coding	NM_001178698.1	NP_009877.1	841	YCL054W
NC_001135.5	34143	35393	III	minus	Pbn1p	PBN1	850305	protein-coding	NM_001178697.1	NP_009878.1	416	YCL052C
NC_001135.5	35865	37616	III	plus	Lre1p	LRE1	850306	protein-coding	NM_001178696.1	NP_009879.2	583	YCL051W
NC_001135.5	37836	38801	III	minus	bifunctional AP-4-A phosphorylase/ADP sulfurylase	APA1	850307	protein-coding	NM_001178695.1	NP_009880.2	321	YCL050C
NC_001135.5	39786	40724	III	minus	uncharacterized protein		850308	protein-coding	NM_001178694.1	NP_009881.2	312	YCL049C
NC_001135.5	41488	41727	III	plus	uncharacterized protein		3799968	protein-coding	NM_001184678.1	NP_001032573.1	79	YCL048W-A
NC_001135.5	42165	43556	III	plus	Sps22p	SPS22	850309	protein-coding	NM_001178693.1	NP_009882.1	463	YCL048W
NC_001135.5	43661	44437	III	minus	nicotinamide-nucleotide adenylyltransferase	POF1	850310	protein-coding	NM_001178692.1	NP_009883.1	258	YCL047C
NC_001135.5	44623	46905	III	minus	Emc1p	EMC1	850312	protein-coding	NM_001178690.1	NP_009884.1	760	YCL045C
NC_001135.5	47111	48364	III	minus	Mgr1p	MGR1	850313	protein-coding	NM_001178689.1	NP_009886.1	417	YCL044C
NC_001135.5	48653	50221	III	minus	protein disulfide isomerase PDI1	PDI1	850314	protein-coding	NM_001178688.1	NP_009887.1	522	YCL043C
NC_001135.5	50584	50943	III	plus	uncharacterized protein		850315	protein-coding	NM_001178687.1	NP_009889.2	119	YCL042W
NC_001135.5	50838	52340	III	plus	glucokinase	GLK1	850317	protein-coding	NM_001178685.1	NP_009890.1	500	YCL040W
NC_001135.5	52645	54882	III	plus	glucose-induced degradation complex subunit GID7	GID7	850318	protein-coding	NM_001178684.1	NP_009891.1	745	YCL039W
NC_001135.5	54941	56527	III	minus	Atg22p	ATG22	850319	protein-coding	NM_001178683.1	NP_009892.1	528	YCL038C
NC_001135.5	57374	58678	III	minus	Sro9p	SRO9	850320	protein-coding	NM_001178682.1	NP_009893.2	434	YCL037C
NC_001135.5	59026	60726	III	plus	Gfd2p	GFD2	850321	protein-coding	NM_001178681.1	NP_009894.1	566	YCL036W
NC_001135.5	60841	61173	III	minus	dithiol glutaredoxin GRX1	GRX1	850322	protein-coding	NM_001178680.1	NP_009895.1	110	YCL035C
NC_001135.5	61658	62722	III	plus	Lsb5p	LSB5	850323	protein-coding	NM_001178679.1	NP_009896.2	354	YCL034W
NC_001135.5	62776	63282	III	minus	peptide-methionine (R)-S-oxide reductase	MXR2	850324	protein-coding	NM_001178678.1	NP_009897.1	168	YCL033C
NC_001135.5	63441	64481	III	plus	Ste50p	STE50	850325	protein-coding	NM_001178677.1	NP_009898.1	346	YCL032W
NC_001135.5	64675	65568	III	minus	Rrp7p	RRP7	850326	protein-coding	NM_001178676.1	NP_009899.1	297	YCL031C
NC_001135.5	65934	68333	III	minus	trifunctional histidinol dehydrogenase/phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase	HIS4	850327	protein-coding	NM_001178675.1	NP_009900.2	799	YCL030C
NC_001135.5	68599	69921	III	minus	Bik1p	BIK1	850328	protein-coding	NM_001178674.1	NP_009901.1	440	YCL029C
NC_001135.5	70150	71367	III	plus	prion domain-containing protein RNQ1	RNQ1	850329	protein-coding	NM_001178673.1	NP_009902.2	405	YCL028W
NC_001135.5	71803	73341	III	plus	Fus1p	FUS1	850330	protein-coding	NM_001178672.1	NP_009903.2	512	YCL027W
NC_001135.5	73405	73986	III	minus	putative nitroreductase	HBN1	850331	protein-coding	NM_001184449.1	NP_065436.1	193	YCL026C-B
NC_001135.5	74704	75285	III	minus	type II nitroreductase	FRM2	850332	protein-coding	NM_001178713.1	NP_009904.2	193	YCL026C-A
NC_001135.5	76018	77919	III	minus	amino acid transporter AGP1	AGP1	850333	protein-coding	NM_001178671.1	NP_009905.3	633	YCL025C
NC_001135.5	79162	82275	III	plus	serine/threonine protein kinase	KCC4	850334	protein-coding	NM_001178670.1	NP_009907.2	1037	YCL024W
NC_001135.5	82462	82533	III	minus	tRNA-Glu		850337	tRNA				YNCC0001C
NC_001135.5	83620	83997	III	plus	uncharacterized protein		850338	protein-coding	NM_001184450.1	NP_065437.1	125	YCL021W-A
NC_001135.5	85102	90415	III	plus	gag-pol fusion protein		850340	protein-coding	NM_001178666.2	NP_009909.2	1770	YCL019W
NC_001135.5	85102	86418	III	plus	gag protein		850339	protein-coding	NM_001178667.1	NP_009910.2	438	YCL020W
NC_001135.5	90859	90972	III	plus	tRNA-Leu	SUP53	850341	tRNA				YNCC0002W
NC_001135.5	91324	92418	III	plus	3-isopropylmalate dehydrogenase	LEU2	850342	protein-coding	NM_001178665.1	NP_009911.2	364	YCL018W
NC_001135.5	92777	94270	III	minus	cysteine desulfurase	NFS1	850343	protein-coding	NM_001178664.1	NP_009912.2	497	YCL017C
NC_001135.5	94621	95763	III	minus	Dcc1p	DCC1	850344	protein-coding	NM_001178663.1	NP_009913.2	380	YCL016C
NC_001135.5	96281	101191	III	plus	Bud3p	BUD3	850345	protein-coding	NM_001178662.1	NP_009914.2	1636	YCL014W
NC_001135.5	101317	101788	III	minus	uncharacterized protein		2746859	protein-coding	NM_001184672.1	NP_976246.1	134	YCL012C
NC_001135.5	102075	103358	III	minus	single-stranded telomeric DNA-binding/mRNA-binding protein	GBP2	850346	protein-coding	NM_001178660.1	NP_009916.1	427	YCL011C
NC_001135.5	103571	104350	III	minus	Sgf29p	SGF29	850347	protein-coding	NM_001178659.1	NP_009917.1	259	YCL010C
NC_001135.5	104619	105548	III	minus	acetolactate synthase regulatory subunit	ILV6	850348	protein-coding	NM_001178658.1	NP_009918.1	309	YCL009C
NC_001135.5	105696	106853	III	minus	ubiquitin-binding ESCRT-I subunit protein STP22	STP22	850349	protein-coding	NM_001178657.1	NP_009919.3	385	YCL008C
NC_001135.5	107023	107417	III	plus	H(+)-transporting V0 sector ATPase subunit e	VMA9	2732686	protein-coding	NM_001184518.1	NP_958835.1	73	YCL005W-A
NC_001135.5	107504	107712	III	minus	SNR43	SNR43	9164875	snoRNA	NR_132155.1			YNCC0003C
NC_001135.5	108021	108791	III	plus	Ldb16p	LDB16	850351	protein-coding	NM_001178654.1	NP_009922.2	256	YCL005W
NC_001135.5	109105	110670	III	plus	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	PGS1	850352	protein-coding	NM_001178653.1	NP_009923.2	521	YCL004W
NC_001135.5	110808	111675	III	minus	uncharacterized protein		850353	protein-coding	NM_001178652.2	NP_009924.4	263	YCL002C
NC_001135.5	111916	112482	III	plus	protein retrieval receptor	RER1	850354	protein-coding	NM_001178651.1	NP_009925.1	188	YCL001W
NC_001135.5	113080	113541	III	plus	uncharacterized protein		850355	protein-coding	NM_001184314.1	NP_009926.1	153	YCL001W-A
NC_001135.5	113770	114024	III	plus	uncharacterized protein		850356	protein-coding	NM_001184462.1	NP_076878.1	84	YCL001W-B
NC_001135.5	115685	115999	III	plus	uncharacterized protein		850357	protein-coding	NM_001348893.1	NP_001335748.1	104	YCR001W
NC_001135.5	117380	118348	III	minus	septin CDC10	CDC10	850358	protein-coding	NM_001178715.1	NP_009928.1	322	YCR002C
NC_001135.5	118620	119171	III	plus	mitochondrial 54S ribosomal protein YmL32	MRPL32	850359	protein-coding	NM_001178716.1	NP_009929.1	183	YCR003W
NC_001135.5	119575	120318	III	minus	flavodoxin-like fold family protein	YCP4	850360	protein-coding	NM_001178717.1	NP_009930.1	247	YCR004C
NC_001135.5	120946	122328	III	minus	citrate (Si)-synthase CIT2	CIT2	850361	protein-coding	NM_001178718.1	NP_009931.1	460	YCR005C
NC_001135.5	122530	123003	III	minus	uncharacterized protein		850362	protein-coding	NM_001348894.1	NP_001335749.1	157	YCR006C
NC_001135.5	123577	123648	III	minus	tRNA-Pro	SUF2	850363	tRNA				YNCC0004C
NC_001135.5	126011	126730	III	minus	DUP240 family protein	DFP3	850364	protein-coding	NM_001178720.1	NP_009933.1	239	YCR007C
NC_001135.5	127716	127789	III	plus	tRNA-Asn		850365	tRNA				YNCC0005W
NC_001135.5	128470	130281	III	plus	serine/threonine protein kinase SAT4	SAT4	850366	protein-coding	NM_001178721.1	NP_009934.1	603	YCR008W
NC_001135.5	130745	131542	III	minus	amphiphysin-like protein RVS161	RVS161	850367	protein-coding	NM_001178722.1	NP_009935.1	265	YCR009C
NC_001135.5	132273	133124	III	minus	Ady2p	ADY2	850368	protein-coding	NM_001178723.1	NP_009936.1	283	YCR010C
NC_001135.5	133724	136873	III	minus	putative ATP-dependent permease ADP1	ADP1	850369	protein-coding	NM_001178724.1	NP_009937.2	1049	YCR011C
NC_001135.5	137746	138996	III	plus	phosphoglycerate kinase	PGK1	850370	protein-coding	NM_001178725.1	NP_009938.2	416	YCR012W
NC_001135.5	139185	140933	III	minus	DNA-directed DNA polymerase IV	POL4	850372	protein-coding	NM_001178727.1	NP_009940.2	582	YCR014C
NC_001135.5	141217	142170	III	minus	Cto1p	CTO1	850373	protein-coding	NM_001178728.1	NP_009941.2	317	YCR015C
NC_001135.5	142364	142546	III	minus	SNR33	SNR33	9164874	snoRNA	NR_132156.1			YNCC0006C
NC_001135.5	142701	142771	III	minus	tRNA-Gly	SUF16	850374	tRNA				YNCC0007C
NC_001135.5	143634	144506	III	plus	uncharacterized protein		850375	protein-coding	NM_001178729.1	NP_009942.2	290	YCR016W
NC_001135.5	144773	147634	III	minus	Cwh43p	CWH43	850376	protein-coding	NM_001178730.1	NP_009943.2	953	YCR017C
NC_001135.5	148238	148903	III	minus	Srd1p	SRD1	850377	protein-coding	NM_001178731.1	NP_009944.2	221	YCR018C
NC_001135.5	149920	149991	III	plus	tRNA-Met		850378	tRNA				YNCC0008W
NC_001135.5	151284	151356	III	minus	tRNA-Lys		850379	tRNA				YNCC0009C
NC_001135.5	152837	153928	III	plus	Mak32p	MAK32	850381	protein-coding	NM_001178732.1	NP_009946.1	363	YCR019W
NC_001135.5	154012	154659	III	minus	Pet18p	PET18	850382	protein-coding	NM_001178733.1	NP_009947.1	215	YCR020C
NC_001135.5	154830	155096	III	minus	Mak31p	MAK31	850383	protein-coding	NM_001178734.1	NP_009948.1	88	YCR020C-A
NC_001135.5	155320	155556	III	plus	Htl1p	HTL1	850384	protein-coding	NM_001184313.1	NP_009949.1	78	YCR020W-B
NC_001135.5	156109	157107	III	minus	Hsp30p	HSP30	850385	protein-coding	NM_001178735.1	NP_009950.1	332	YCR021C
NC_001135.5	157421	157765	III	minus	uncharacterized protein		850386	protein-coding	NM_001348895.1	NP_001335750.1	114	YCR022C
